posted,item_id,recommend,user_id,sentiment_analysis
"Posted September 7, 2014.",49520,True,Rainbow-Dashie,0
"Posted December 19, 2014.",33440,False,76561198043472122,0
"Posted February 17, 2015.",220200,True,MarbleShrine,2
"Posted June 7, 2014.",211820,True,PPanther,1
"Posted February 12, 2014.",440,True,devvonst,2
"Posted February 9, 2014.",218740,True,devvonst,1
"Posted October 31, 2015.",550,True,devvonst,2
Posted February 27.,220,True,Fr0stedLine,2
"Posted February 4, 2015.",238090,True,starkillershadow553,2
Posted August 23.,242130,True,starkillershadow553,1
"Posted April 5, 2014.",277430,True,starkillershadow553,1
"Posted January 8, 2015.",8870,True,76561198058373434,1
"Posted October 26, 2015.",368230,True,76561198048353577,0
Posted May 16.,4000,True,76561198048353577,2
"Posted March 20, 2013.",33930,True,76561198048353577,1
"Posted December 28, 2015.",359320,False,76561198066046412,0
"Posted May 19, 2015.",219640,True,76561198066046412,2
"Posted December 15, 2015.",287980,True,tru_mu_,1
Posted March 31.,218620,True,76561198070565427,1
"Posted August 21, 2015.",208090,True,76561198070565427,1
"Posted October 17, 2014.",242700,True,76561198070565427,1
"Posted June 27, 2014.",570,False,76561198070565427,1
"Posted April 28, 2014.",224260,True,76561198070565427,1
"Posted November 12, 2015.",221100,True,SavageEeEe,2
"Posted June 18, 2014.",570,True,76561198076909484,0
"Posted November 20, 2014.",331470,True,KanadeTheNeko,2
"Posted May 29, 2014.",4000,True,KanadeTheNeko,1
Posted July 9.,323370,True,Leaf_Light_Moscow,2
"Posted December 29, 2014.",304930,True,GoAwayZach,2
"Posted February 13, 2015.",12210,True,76561198054540475,2
"Posted December 26, 2014.",265210,True,76561198054540475,1
"Posted February 4, 2014.",48700,True,76561198054540475,1
Posted June 16.,238460,True,76561198085547365,2
Posted June 16.,34900,True,76561198085547365,2
"Posted May 21, 2015.",730,True,76561198061252210,2
"Posted December 6, 2013.",113200,True,OfficialShroomsy,1
"Posted May 12, 2014.",440,True,boydeer,1
"Posted August 24, 2015.",383080,False,boydeer,1
"Posted January 6, 2015.",213670,True,VVillis,1
"Posted December 22, 2015.",105600,True,76561198083226897,0
"Posted June 23, 2015.",730,True,76561198075277292,1
"Posted September 11, 2015.",570,True,76561198075277292,2
"Posted April 22, 2013.",231180,True,76561198028895010,2
"Posted May 27, 2012.",620,True,76561198028895010,2
Posted January 18.,271290,True,76561198170198366,2
Posted July 30.,4000,True,diego9031,1
Posted July 28.,317360,True,diego9031,1
"Posted December 5, 2015.",223710,True,diego9031,1
"Posted October 4, 2015.",299360,True,diego9031,1
"Posted October 3, 2015.",322330,True,diego9031,2
"Posted August 13, 2015.",1250,True,diego9031,1
"Posted February 22, 2015.",12100,True,diego9031,1
"Posted January 14, 2015.",204360,True,diego9031,2
"Posted December 14, 2013.",440,True,diego9031,0
"Posted December 1, 2013.",224260,True,diego9031,1
"Posted February 11, 2012.",440,True,jarrodtrim,2
Posted February 20.,304930,True,76561198078738103,1
"Posted March 12, 2015.",440,True,76561198067936203,2
"Posted October 14, 2015.",1840,True,76561198079770573,1
"Posted October 27, 2013.",440,True,76561198087586464,2
"Posted November 27, 2015.",440,True,Derp-e,2
"Posted October 9, 2014.",233250,True,76561198070194565,1
Posted May 7.,449140,True,76561198070194565,1
Posted May 7.,368730,True,76561198070194565,1
Posted April 4.,246280,True,76561198070194565,1
Posted March 30.,427270,True,76561198070194565,2
Posted March 28.,397100,True,76561198070194565,1
"Posted November 9, 2015.",248570,True,76561198070194565,1
"Posted December 23, 2015.",298630,True,Rivtex,1
"Posted May 6, 2014.",244210,True,UTNerd24,1
"Posted December 2, 2015.",440,True,UTNerd24,0
"Posted June 6, 2015.",376920,True,UTNerd24,2
"Posted September 29, 2015.",257750,True,UTNerd24,1
"Posted September 8, 2014.",221910,True,UTNerd24,0
"Posted December 15, 2013.",2280,True,UTNerd24,2
"Posted November 23, 2015.",417860,False,sandwiches1,1
"Posted June 1, 2014.",218620,True,76561198138053270,2
"Posted July 11, 2014.",218620,True,lucaswerg,1
"Posted November 14, 2014.",222880,True,lucaswerg,1
"Posted November 13, 2015.",377160,True,Life-Of-Blu,2
"Posted December 15, 2013.",211820,True,Life-Of-Blu,1
"Posted December 17, 2015.",252490,True,CaptianAutismo,2
"Posted October 26, 2014.",440,True,76561198075895633,1
Posted January 11.,242920,True,TheDropix101,1
"Posted June 28, 2014.",251990,True,kube134,2
"Posted September 12, 2015.",344760,False,iamthekingofbrowntown,0
"Posted September 13, 2015.",252950,True,iamthekingofbrowntown,1
Posted April 20.,236430,True,iamthekingofbrowntown,1
"Posted October 14, 2015.",399730,True,iamthekingofbrowntown,2
Posted February 26.,550,True,MainScout,1
"Posted November 19, 2015.",377160,True,yookobz,2
"Posted June 25, 2013.",219150,True,yookobz,2
"Posted April 11, 2014.",277430,True,Posiblydead,2
"Posted February 22, 2014.",239820,True,Posiblydead,2
"Posted September 24, 2012.",17410,True,Posiblydead,2
"Posted September 26, 2015.",440,True,Mossy_Gaming,2
"Posted June 12, 2015.",270550,True,76561198102421718,1
"Posted August 3, 2015.",274940,True,76561198102421718,2
"Posted June 26, 2015.",333930,True,76561198102421718,1
"Posted January 15, 2014.",440,True,76561198087407319,0
"Posted October 14, 2014.",730,True,76561198056741844,1
Posted August 31.,294100,True,sad-commie,0
"Posted July 9, 2014.",212070,True,sad-commie,2
"Posted March 13, 2014.",264140,True,sad-commie,1
"Posted November 11, 2014.",332800,True,76561198030567998,1
"Posted July 21, 2015.",319630,True,76561198030567998,2
"Posted July 5, 2015.",6020,True,76561198030567998,1
"Posted March 12, 2015.",55230,True,76561198030567998,2
"Posted February 23, 2014.",32430,True,76561198030567998,1
Posted March 27.,377160,False,76561198010674657,1
Posted January 15.,440,True,76561198010674657,1
"Posted March 22, 2015.",35450,True,Coldaniel,2
"Posted August 21, 2014.",440,True,Coldaniel,1
"Posted March 13, 2015.",236390,True,Coldaniel,2
"Posted March 20, 2015.",351570,True,therealmorty,1
"Posted March 7, 2015.",212680,True,therealmorty,0
"Posted October 10, 2015.",391540,True,Berserklejerker,1
"Posted July 6, 2014.",550,True,76561198061730629,1
"Posted June 19, 2014.",440,True,YoHuNz,1
"Posted February 19, 2014.",570,True,YoHuNz,1
"Posted April 11, 2015.",72850,True,possessioniskey,2
"Posted December 24, 2015.",440,True,possessioniskey,1
"Posted May 17, 2014.",113400,True,possessioniskey,0
"Posted August 9, 2014.",440,True,76561198093112529,1
"Posted September 26, 2015.",200510,True,76561198060447950,2
"Posted May 22, 2015.",730,True,whiteofwolfing,2
"Posted August 22, 2015.",383080,True,sergarino,1
Posted May 26.,200210,True,76561198081962345,2
"Posted April 5, 2014.",1250,True,76561198081962345,1
Posted January 18.,304050,True,76561198073210139,0
"Posted December 30, 2015.",265610,True,Nozomikat,1
"Posted August 1, 2014.",264200,True,Nozomikat,1
"Posted December 26, 2015.",417860,True,Nozomikat,1
"Posted April 14, 2015.",333600,True,Nozomikat,2
"Posted December 30, 2014.",213670,True,Nozomikat,1
"Posted December 4, 2013.",91310,True,Nozomikat,1
Posted August 19.,437220,False,Nozomikat,1
"Posted December 4, 2013.",210770,True,Nozomikat,0
"Posted November 10, 2015.",351640,True,xfluttersx,1
Posted September 14.,202530,False,xfluttersx,1
"Posted August 27, 2012.",105600,True,xfluttersx,2
"Posted February 5, 2014.",440,True,xfluttersx,2
"Posted January 27, 2013.",47870,True,xfluttersx,2
"Posted August 25, 2015.",383080,True,xfluttersx,2
"Posted August 27, 2012.",410,True,xfluttersx,2
"Posted December 16, 2014.",730,True,76561198056290589,2
"Posted June 29, 2014.",253710,False,ii_voltage_ii,1
"Posted April 11, 2015.",339280,True,ii_voltage_ii,2
"Posted March 8, 2014.",271290,True,ii_voltage_ii,2
"Posted November 16, 2013.",203290,True,ii_voltage_ii,2
"Posted November 11, 2015.",440,True,76561198097762318,1
"Posted December 26, 2014.",233150,True,76561198097762318,0
"Posted January 17, 2013.",550,True,Hirukaz,1
"Posted July 17, 2015.",730,True,StelerForYou,2
"Posted December 29, 2013.",211820,True,StelerForYou,2
"Posted May 6, 2015.",440,True,76561198183396245,2
Posted July 20.,346330,False,Xx-Woods,1
"Posted January 26, 2015.",224260,True,Xx-Woods,2
"Posted November 16, 2014.",317360,True,Xx-Woods,2
"Posted August 17, 2014.",295550,True,Xx-Woods,2
"Posted July 21, 2014.",250180,True,Xx-Woods,1
"Posted July 19, 2014.",227940,True,Xx-Woods,1
"Posted February 8, 2014.",17520,True,Xx-Woods,1
"Posted January 7, 2014.",113420,True,Xx-Woods,2
"Posted July 6, 2015.",320760,True,kevinator23,0
"Posted September 6, 2015.",8850,True,kevinator23,1
"Posted April 24, 2014.",233720,True,kevinator23,1
"Posted July 6, 2015.",218620,True,kevinator23,0
"Posted January 27, 2015.",730,True,kevinator23,2
"Posted January 25, 2015.",219740,True,kevinator23,2
"Posted May 24, 2014.",220240,True,kevinator23,1
"Posted October 20, 2012.",440,True,kevinator23,1
"Posted March 28, 2014.",4000,True,76561198090715178,2
"Posted July 9, 2014.",304930,True,76561198090715178,2
"Posted February 23, 2015.",333950,True,CatsWhale,1
"Posted August 29, 2015.",388520,True,CatsWhale,1
"Posted November 23, 2014.",107410,True,CatsWhale,1
"Posted September 9, 2014.",206210,True,CatsWhale,1
"Posted March 26, 2015.",221100,True,76561198073784601,2
Posted July 8.,299740,False,76561198073784601,0
"Posted November 23, 2015.",730,True,mimimomoma,0
"Posted September 14, 2015.",440,True,76561198102410011,1
"Posted October 13, 2014.",209870,True,de_Butl3r,1
Posted July 23.,322170,True,76561198027947401,2
Posted February 20.,304050,True,76561198027947401,2
"Posted December 27, 2015.",440,True,Bluezap1,2
"Posted May 13, 2015.",730,True,Bluezap1,2
"Posted December 27, 2015.",362890,True,Bluezap1,2
"Posted December 21, 2015.",413850,True,Bluezap1,1
"Posted November 15, 2015.",730,True,76561198074200011,2
Posted September 9.,346110,True,jonasdbomb,1
"Posted June 13, 2014.",570,True,L1J1N,2
"Posted March 13, 2015.",311560,True,Lord_Exploit,1
"Posted January 7, 2015.",322170,True,Lord_Exploit,1
"Posted January 2, 2014.",48240,False,AVATAR715,0
"Posted November 18, 2015.",440,True,AVATAR715,2
"Posted June 1, 2014.",248570,True,AVATAR715,1
"Posted March 18, 2014.",264140,True,AVATAR715,0
"Posted February 16, 2014.",4000,True,AVATAR715,1
"Posted February 25, 2015.",266430,True,AVATAR715,2
"Posted August 15, 2015.",316010,True,AVATAR715,2
"Posted December 25, 2014.",249570,True,AVATAR715,1
Posted February 22.,730,True,YieuwMage,1
"Posted December 16, 2014.",240,True,76561198078752187,0
"Posted August 14, 2015.",304930,True,A-Very-Sly-Person,1
"Posted November 11, 2014.",440,True,A-Very-Sly-Person,1
Posted May 29.,730,True,76561198211054671,0
Posted July 3.,333930,True,76561198211054671,0
Posted June 20.,365590,True,76561197994493402,1
"Posted March 1, 2015.",264200,True,76561197994493402,2
"Posted November 27, 2014.",440,True,76561197994493402,2
Posted May 17.,298050,False,Koolcaz12,2
"Posted November 20, 2015.",383080,True,76561198065656175,1
Posted September 17.,440,True,76561198188979775,2
"Posted August 23, 2014.",301520,True,97396295,2
"Posted June 17, 2014.",243870,True,97396295,2
"Posted July 10, 2014.",218230,False,97396295,2
Posted August 26.,291550,False,97396295,1
"Posted June 15, 2015.",251570,True,76561198126640317,2
"Posted February 14, 2015.",221100,True,76561198126640317,1
"Posted September 12, 2015.",316010,True,76561198126640317,2
"Posted September 12, 2015.",218230,True,76561198126640317,1
"Posted July 1, 2015.",333930,True,76561198126640317,2
"Posted July 1, 2015.",222880,True,76561198126640317,1
"Posted June 15, 2015.",730,True,76561198126640317,1
"Posted January 15, 2015.",55230,True,DemonicWolvz,2
"Posted April 29, 2015.",232090,True,DemonicWolvz,2
"Posted March 29, 2015.",4000,True,DemonicWolvz,0
"Posted November 23, 2014.",206420,True,DemonicWolvz,2
"Posted February 12, 2014.",224260,True,DemonicWolvz,1
"Posted December 26, 2013.",550,True,DemonicWolvz,2
"Posted August 29, 2015.",346110,True,DieMadchenschanderin,1
"Posted October 5, 2015.",380770,False,DieMadchenschanderin,0
Posted June 29.,454890,True,DieMadchenschanderin,1
"Posted June 14, 2013.",227680,False,DieMadchenschanderin,1
Posted September 4.,570,False,GGargula,1
"Posted November 23, 2015.",233250,True,GGargula,1
Posted July 16.,273350,True,Myther43,2
"Posted May 31, 2015.",730,True,getf0kinn0sc0pedm9,0
Posted June 26.,440,False,getf0kinn0sc0pedm9,1
"Posted May 3, 2015.",730,True,76561198141443390,2
Posted June 14.,570,True,76561198097333029,0
"Posted August 6, 2015.",730,True,whodafuqisthisguilao,2
"Posted October 5, 2015.",370480,True,Magjiikal,2
"Posted December 17, 2015.",313740,True,Magjiikal,1
"Posted December 17, 2014.",1840,True,ohnospaghet,2
"Posted September 30, 2014.",440,True,ohnospaghet,2
"Posted March 10, 2015.",266210,True,ohnospaghet,2
Posted January 16.,369200,True,ohnospaghet,0
Posted March 5.,252490,False,ohnospaghet,0
"Posted March 10, 2015.",264200,True,ohnospaghet,2
Posted March 19.,292030,True,76561198050347115,1
"Posted September 1, 2015.",287700,True,2768820078,1
Posted April 19.,730,False,2768820078,1
Posted April 18.,310950,True,2768820078,1
"Posted November 18, 2015.",377160,True,2768820078,1
"Posted August 8, 2015.",221380,True,2768820078,1
"Posted July 15, 2015.",333950,True,2768820078,1
"Posted June 12, 2015.",222420,False,2768820078,1
"Posted May 19, 2015.",271590,True,2768820078,1
"Posted May 11, 2015.",298110,True,2768820078,1
"Posted May 2, 2015.",222440,True,2768820078,1
Posted February 7.,259530,True,76561198056392326,1
Posted January 30.,219640,False,76561198056392326,1
Posted January 30.,269210,False,76561198056392326,1
"Posted August 20, 2014.",317470,False,2d4nk4m3,0
"Posted March 18, 2014.",47410,True,2d4nk4m3,2
Posted April 10.,730,True,76561198078478151,1
Posted September 15.,365450,True,exiaez,1
"Posted May 1, 2015.",245620,True,76561198095921854,2
"Posted October 28, 2015.",70,True,EizanAratoFujimaki,1
Posted April 15.,359550,False,EizanAratoFujimaki,1
"Posted December 15, 2014.",274980,True,TeCool,1
"Posted December 6, 2014.",202090,True,TeCool,2
"Posted April 11, 2015.",339280,True,TeCool,1
"Posted January 31, 2015.",314130,False,TeCool,0
"Posted September 13, 2015.",570,True,2xDelorean,1
"Posted July 26, 2013.",212680,True,2xDelorean,2
"Posted May 18, 2013.",200210,True,2xDelorean,2
"Posted October 30, 2011.",440,True,2xDelorean,2
Posted August 19.,440,False,washington_,1
Posted August 19.,4000,True,washington_,2
Posted August 19.,211820,True,washington_,1
Posted August 19.,10180,True,washington_,1
Posted August 19.,252490,True,washington_,1
"Posted December 13, 2015.",417860,True,washington_,1
"Posted May 18, 2015.",251970,True,jewxxl,2
Posted June 22.,359550,True,76561198088944293,1
Posted July 14.,107410,True,76561198088944293,2
Posted June 27.,218230,False,76561198088944293,1
Posted March 8.,437701,False,76561198088944293,1
"Posted December 13, 2014.",304930,True,76561198088944293,1
"Posted July 31, 2015.",400,True,76561198092540221,2
"Posted June 29, 2015.",620,True,76561198092540221,2
"Posted June 29, 2015.",238460,True,76561198092540221,2
"Posted February 12, 2015.",6060,True,76561198092540221,2
"Posted March 29, 2014.",440,True,76561198092540221,2
"Posted February 4, 2015.",730,True,76561198051258119,2
"Posted April 21, 2014.",265610,True,nubquake123,2
"Posted February 15, 2013.",31280,True,Pyromanic,1
"Posted February 15, 2013.",4000,True,Pyromanic,2
"Posted February 15, 2013.",240,True,Pyromanic,2
Posted March 27.,440,True,76561198109656922,2
"Posted August 1, 2015.",252490,True,CobRazor,0
"Posted December 27, 2013.",8930,True,relesprit,2
"Posted July 16, 2014.",304930,True,WitchHunter4542,2
"Posted January 13, 2015.",237310,True,WitchHunter4542,1
"Posted January 11, 2014.",224260,True,WitchHunter4542,2
"Posted September 3, 2015.",230410,True,pwrt,1
"Posted January 20, 2014.",440,True,pwrt,2
"Posted May 3, 2014.",440,True,wantmahbody,2
Posted May 1.,219640,False,76561198115868847,0
"Posted August 2, 2014.",570,True,benedictcuminherbatch,2
"Posted March 17, 2014.",8930,True,76561198031207016,2
"Posted July 19, 2015.",105600,True,76561198043458582,0
"Posted May 26, 2015.",221100,True,76561198043458582,2
"Posted November 22, 2015.",107410,True,76561198043458582,2
"Posted October 18, 2014.",231430,True,76561198043458582,1
"Posted December 30, 2014.",218620,True,smashiroshh,2
Posted March 7.,225540,True,shark854,2
"Posted January 22, 2015.",570,True,killbunny38,2
"Posted August 20, 2015.",333930,False,killbunny38,0
"Posted May 14, 2015.",230410,False,76561198047630659,1
"Posted April 13, 2015.",271590,True,1337lolroflmao,1
"Posted October 1, 2014.",218620,True,1337lolroflmao,1
"Posted December 28, 2013.",219740,True,1337lolroflmao,2
"Posted December 28, 2013.",7940,True,1337lolroflmao,2
"Posted November 30, 2014.",234190,True,1337lolroflmao,0
"Posted December 28, 2013.",10180,True,1337lolroflmao,2
"Posted December 28, 2013.",33900,True,1337lolroflmao,2
"Posted January 5, 2015.",261030,True,1337lolroflmao,2
"Posted December 23, 2014.",243470,True,1337lolroflmao,1
"Posted September 1, 2015.",302830,False,sithjjf,1
"Posted October 4, 2014.",570,False,76561198060039459,1
Posted January 10.,218620,False,OzfurAtlas,1
Posted September 12.,4700,True,OzfurAtlas,1
"Posted December 8, 2013.",212680,True,OzfurAtlas,0
"Posted November 6, 2015.",304930,False,76561198065593074,0
Posted June 25.,730,False,76561198065593074,1
"Posted September 23, 2015.",304050,True,76561198065593074,2
"Posted May 31, 2014.",203750,True,76561198065593074,0
"Posted June 24, 2015.",227940,False,76561198044169764,1
"Posted July 22, 2015.",355180,False,76561198044169764,1
Posted March 20.,730,True,76561198044169764,0
"Posted June 3, 2015.",4000,True,76561198044169764,1
"Posted July 26, 2014.",236390,True,euzi,2
Posted May 15.,221100,False,76561198074935997,0
Posted May 13.,365590,False,76561198074935997,1
Posted July 10.,299740,True,76561198074935997,2
Posted September 17.,346110,False,76561198074935997,1
Posted August 16.,275850,False,76561198074935997,0
Posted July 31.,400800,False,76561198074935997,0
Posted June 29.,252490,False,76561198074935997,2
Posted March 6.,437220,False,76561198074935997,2
"Posted April 23, 2014.",730,True,76561197961778802,2
Posted September 8.,440,True,lucasrash,1
Posted September 2.,301520,False,76561198016602703,1
Posted July 23.,433340,True,76561198016602703,2
"Posted April 12, 2014.",440,True,thisissohardtomakeoneup,1
"Posted April 4, 2015.",4000,True,76561198087010391,2
"Posted January 5, 2015.",302830,False,66666669999999,1
"Posted September 14, 2014.",220200,True,76561198061174192,2
"Posted September 14, 2014.",242760,True,76561198061174192,1
"Posted October 12, 2015.",352460,True,ReMiXOfficalSteam,2
"Posted March 22, 2015.",322920,True,Wilfire77,2
"Posted December 1, 2015.",234792,True,76561198084390807,1
"Posted May 10, 2014.",252490,True,76561198084390807,1
"Posted August 1, 2015.",304050,False,Mastic,1
Posted June 29.,297130,True,Mastic,1
Posted March 25.,397570,True,Mastic,1
"Posted December 30, 2014.",550,True,Mastic,2
"Posted December 27, 2014.",206420,True,Mastic,2
Posted July 7.,278360,False,Mastic,1
"Posted December 26, 2013.",10180,True,76561198028286104,2
Posted August 26.,242760,True,tarjla,2
"Posted July 13, 2014.",304930,True,tarjla,1
Posted August 26.,441790,True,tarjla,2
"Posted January 28, 2015.",265750,True,tarjla,1
"Posted May 8, 2014.",252490,True,tarjla,2
"Posted November 21, 2013.",4000,True,tarjla,2
"Posted December 7, 2013.",211820,True,tarjla,0
"Posted February 9, 2013.",105600,True,tarjla,2
Posted August 26.,251570,True,tarjla,2
"Posted January 9, 2014.",730,True,tarjla,2
Posted July 18.,233110,False,deathnz1,0
Posted July 16.,322910,False,deathnz1,2
"Posted December 26, 2014.",276340,True,deathnz1,2
Posted May 14.,227940,True,readingthis4noobs,1
"Posted March 13, 2015.",304930,True,76561198104393251,1
Posted March 30.,730,True,76561198075322986,1
Posted June 18.,448530,True,redsncrimson,1
Posted March 20.,304410,True,redsncrimson,2
Posted March 20.,620,True,redsncrimson,2
"Posted December 23, 2014.",274920,True,redsncrimson,2
"Posted December 26, 2013.",211820,True,redsncrimson,2
Posted March 20.,219890,True,redsncrimson,1
"Posted May 18, 2013.",49520,True,redsncrimson,2
"Posted January 9, 2013.",223510,True,redsncrimson,1
"Posted November 30, 2012.",440,True,redsncrimson,2
Posted April 22.,252950,True,76561198151910904,2
"Posted March 10, 2014.",240,True,H1DD3NT3RR0R,1
"Posted February 27, 2014.",105600,True,H1DD3NT3RR0R,1
"Posted November 25, 2013.",204300,True,H1DD3NT3RR0R,2
"Posted June 11, 2014.",730,True,H1DD3NT3RR0R,1
"Posted September 4, 2015.",440,False,H1DD3NT3RR0R,0
"Posted June 18, 2014.",570,True,H1DD3NT3RR0R,0
"Posted May 11, 2015.",268750,True,76561198071214618,2
"Posted May 22, 2015.",570,True,76561198115115631,2
"Posted August 10, 2015.",570,True,76561198071175142,2
"Posted July 7, 2015.",271590,True,76561198071175142,2
"Posted May 13, 2015.",360870,True,t8s,1
"Posted May 2, 2015.",730,True,t8s,2
Posted March 12.,230410,True,pikawuu2,0
"Posted September 15, 2013.",12900,True,pikawuu2,2
"Posted November 4, 2014.",301520,True,Sammeh00,1
"Posted August 7, 2014.",6060,True,Michaelele,0
"Posted June 30, 2014.",730,True,Michaelele,2
"Posted August 21, 2014.",107410,True,Michaelele,1
"Posted July 16, 2014.",304930,True,Michaelele,2
"Posted August 7, 2015.",335670,True,76561198045754869,0
"Posted August 2, 2015.",215080,True,76561198076098774,2
"Posted February 24, 2014.",570,True,76561198103253374,1
"Posted December 28, 2015.",271590,True,76561198048417105,1
"Posted February 27, 2015.",730,True,76561198048417105,2
Posted August 13.,244160,True,76561198048417105,2
Posted February 14.,270880,True,76561198048417105,2
"Posted January 16, 2015.",8190,True,76561198090842891,1
"Posted June 10, 2015.",247730,False,76561198055767971,0
"Posted November 27, 2014.",233630,True,76561197998052647,1
Posted February 24.,303390,False,adohya343,1
"Posted August 2, 2014.",221100,True,76561198145436942,2
"Posted November 3, 2014.",208812,False,jjas01,0
"Posted October 17, 2015.",218620,False,jjas01,1
"Posted October 8, 2013.",243120,True,jjas01,2
"Posted December 28, 2015.",234140,True,jjas01,2
"Posted May 8, 2014.",204450,True,jjas01,2
"Posted February 18, 2014.",225260,True,jjas01,1
"Posted October 27, 2013.",50300,True,jjas01,2
"Posted June 4, 2014.",201810,True,jjas01,2
Posted July 9.,212630,False,jjas01,0
Posted March 2.,427820,False,jjas01,1
"Posted February 26, 2014.",500,True,3xotic26,2
"Posted February 26, 2014.",440,True,3xotic26,2
"Posted February 26, 2014.",49520,True,3xotic26,2
"Posted July 15, 2013.",550,True,3xotic26,2
"Posted June 16, 2015.",206420,True,iamthetrashlord,1
"Posted July 20, 2014.",213670,True,iamthetrashlord,2
"Posted August 24, 2015.",550,True,3dster,2
"Posted March 14, 2014.",231040,True,76561198079990063,2
"Posted August 28, 2014.",221100,True,Forty-Nine,1
Posted January 11.,376300,False,Forty-Nine,2
"Posted May 30, 2015.",351040,True,76561198051017916,1
"Posted May 26, 2014.",250600,True,76561198051017916,1
Posted August 15.,227940,True,L4M1NAS,1
Posted March 25.,437220,True,L4M1NAS,2
"Posted March 5, 2015.",221100,True,L4M1NAS,2
Posted July 16.,301520,False,76561198096766604,1
"Posted July 23, 2015.",264710,True,76561197995322437,2
"Posted July 7, 2014.",218620,True,imsojipper,1
"Posted January 16, 2015.",206420,True,76561198084542731,1
"Posted February 16, 2014.",47790,True,76561198084542731,2
"Posted April 11, 2015.",570,True,76561198103671881,2
Posted August 22.,236110,True,mrpfresh,0
"Posted October 16, 2015.",346110,True,mrpfresh,0
Posted January 9.,232790,True,mrpfresh,1
"Posted July 15, 2012.",440,True,GamerFag,2
"Posted January 27, 2011.",70,True,GamerFag,1
"Posted January 27, 2011.",420,True,GamerFag,2
"Posted January 27, 2011.",380,True,GamerFag,2
"Posted January 27, 2011.",220,True,GamerFag,2
"Posted December 16, 2010.",1250,True,GamerFag,2
"Posted September 9, 2015.",339230,False,EHS-R3AP3R,1
"Posted October 15, 2015.",349700,True,EHS-R3AP3R,2
"Posted November 26, 2013.",226700,True,EHS-R3AP3R,2
"Posted December 12, 2013.",209160,True,EHS-R3AP3R,2
"Posted December 15, 2013.",219990,True,chidori_647,0
"Posted March 5, 2014.",213670,True,chidori_647,1
"Posted November 30, 2013.",21100,False,chidori_647,0
"Posted December 2, 2013.",8190,True,chidori_647,1
"Posted November 28, 2013.",215470,False,chidori_647,0
"Posted September 11, 2014.",730,True,76561198092227136,2
"Posted May 26, 2014.",1250,True,76561198092227136,1
"Posted July 18, 2014.",4000,True,hellcat59,1
"Posted September 10, 2015.",401650,True,76561198007584361,1
"Posted May 22, 2012.",35450,True,tbimperator,2
"Posted January 17, 2015.",230410,True,Allahu_Akbar666,2
"Posted October 24, 2014.",304930,False,Allahu_Akbar666,0
"Posted October 27, 2014.",290020,True,ulramite,1
"Posted February 8, 2014.",248860,True,ulramite,1
Posted July 24.,211820,True,ulramite,1
"Posted March 8, 2014.",226700,False,-GM-Dragon,0
"Posted June 10, 2015.",244850,True,-GM-Dragon,1
"Posted March 13, 2015.",298260,True,76561198054040292,1
"Posted October 1, 2015.",370240,False,76561198078799606,0
"Posted June 29, 2015.",730,True,76561198078799606,2
