item_id,app_name,recommend,playtime_forever,genres
253250,Stonehearth,6,12400,7
312530,Duck Game,12,19956,12
252950,Rocket League®,216,1900532,225
274920,FaceRig,9,7893,10
293260,Card Hunter,6,262682,6
388090,Five Nights at Freddy's 4,20,3781,20
383120,Empyrion - Galactic Survival,7,65739,7
365450,Hacknet,11,4934,11
386070,Planetary Annihilation: TITANS,6,16012,7
375950,Viridi,10,28385,12
234140,Mad Max,43,91768,47
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,58,349503,63
386360,SMITE®,48,787081,53
391540,Undertale,182,269459,189
24010,Train Simulator,16,146302,26
238240,Edge of Space,5,21413,11
282140,SOMA,10,10015,10
349700,Romero's Aftermath,12,47851,24
233450,Prison Architect,88,398220,92
360740,Downwell,5,2929,5
274190,Broforce,66,140304,69
351970,Tales of Zestiria,6,19429,7
368230,Kingdom: Classic,11,10875,11
311210,Call of Duty®: Black Ops III,77,995145,122
290080,Life is Feudal: Your Own,16,110525,21
225540,Just Cause™ 3,44,191006,56
393420,Hurtworld,21,49685,22
344760,Reign Of Kings,37,213970,48
367500,Dragon's Dogma: Dark Arisen,11,49913,11
387990,Scrap Mechanic,10,15354,12
225840,Sven Co-op,22,32582,26
434570,Blood and Bacon,8,2953,10
391720,Layers of Fear,6,2812,6
433850,H1Z1,15,126647,18
246620,Plague Inc: Evolved,37,49850,37
413410,Danganronpa: Trigger Happy Havoc,6,11317,6
322500,SUPERHOT,24,11594,25
365590,Tom Clancy’s The Division™,19,228483,29
236870,HITMAN™,14,39008,15
372000,Tree of Savior (English Ver.),9,188344,20
257850,Hyper Light Drifter,7,4681,7
394230,Battleborn,8,82268,12
418340,RWBY: Grimm Eclipse,22,21017,24
294100,RimWorld,13,34866,13
211820,Starbound,284,1815460,302
338170,Ratz Instagib,14,6087,15
337000,Deus Ex: Mankind Divided,14,23932,15
444090,Paladins®,11,2868,13
310380,Fractured Space,21,47395,27
227940,Heroes & Generals,151,1358180,209
237870,Planet Explorers,5,19800,7
232090,Killing Floor 2,101,468641,116
332310,LEGO® Worlds,10,12230,11
383980,Rivals of Aether,9,15912,9
236110,Dungeon Defenders II,32,124122,36
305620,The Long Dark,35,66390,36
433340,Slime Rancher,19,12680,19
380600,Fishing Planet,8,18263,10
346110,ARK: Survival Evolved,185,3131403,236
407530,ARK: Survival Of The Fittest,6,2835,8
25000,Overgrowth,19,17702,21
285900,Gang Beasts,20,19530,22
355180,Codename CURE,18,12307,25
291550,Brawlhalla,74,263001,78
300380,Road Redemption,7,4729,9
301520,Robocraft,226,1934451,303
227860,Castle Story,5,5518,7
304930,Unturned,849,4413547,924
352460,Dead Realm,17,5924,17
427270,Orcs Must Die! Unchained,9,4748,10
428690,Youtubers Life,5,7681,5
407840,Guardians of Orion,5,2742,7
459820,Crush Crush,5,11181,5
221680,Rocksmith® 2014 Edition - Remastered,11,129511,12
275850,No Man's Sky,46,144944,115
442080,Riders of Icarus,6,18647,9
376570,WildStar,5,48877,6
394360,Hearts of Iron IV,10,92009,11
364360,Total War: WARHAMMER,24,135667,28
381120,Shoppe Keep,6,5594,6
270210,Melody's Escape,8,6539,8
379720,DOOM,58,110857,59
427730,Who's Your Daddy,16,3892,16
449140,Istrolid,5,4324,5
281990,Stellaris,13,49662,16
322330,Don't Starve Together,106,302509,108
374320,DARK SOULS™ III,44,387061,50
394690,Tower Unite,8,20121,8
311690,Enter the Gungeon,5,16310,6
413150,Stardew Valley,92,337191,92
371660,Far Cry® Primal,8,10138,9
219990,Grim Dawn,14,71844,14
427520,Factorio,29,85973,29
224500,Gnomoria,5,48048,8
270880,American Truck Simulator,12,51120,12
391220,Rise of the Tomb Raider™,10,16086,10
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,9,17976,9
383870,Firewatch,36,10248,40
268500,XCOM® 2,31,146389,32
431240,Golf With Your Friends,15,9245,16
424280,Iron Snout,18,3822,20
262060,Darkest Dungeon®,29,101504,33
298240,Red Crucible®: Firestorm,11,11147,20
397340,SimplePlanes,10,59213,10
412880,Drift Streets Japan,9,30113,11
393380,Squad,20,118474,24
242680,Nuclear Throne,34,211767,35
310560,DiRT Rally,11,34126,11
359550,Tom Clancy's Rainbow Six® Siege,61,763383,75
417860,Emily is Away,149,93002,160
390670,Steel Ocean,5,89759,8
377160,Fallout 4,174,1759721,199
287980,Mini Metro,14,6052,14
375600,Air Brawl,5,2312,5
353270,Hyperdimension Neptunia Re;Birth3 V Generation / 神次次元ゲイム ネプテューヌRe;Birth3 V CENTURY,6,14136,6
235540,Warhammer: End Times - Vermintide,17,29652,18
376870,Minecraft: Story Mode - A Telltale Games Series,15,15347,17
337320,Paint the Town Red,14,19297,14
303210,The Beginner's Guide,39,4893,41
370240,NBA 2K16,5,161021,12
359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,21,220659,23
290340,Armello,5,29711,5
230290,Universe Sandbox ²,14,4891,14
391460,WARMODE,11,4139,29
356670,Spooky's Jump Scare Mansion,20,3302,21
320140,Absolute Drift,5,3847,5
389570,Mitos.is: The Game,16,77391,19
316010,Magic Duels,20,170352,26
345390,King's Quest,5,3149,5
385770,Time Clickers,14,37498,14
331500,Executive Assault,5,5667,5
304050,Trove,111,736423,137
317400,Portal Stories: Mel,23,12704,23
208650,Batman™: Arkham Knight,38,188195,56
351640,Eternal Senia,13,4293,13
286160,Tabletop Simulator,14,19185,14
333930,Dirty Bomb®,107,429377,143
235800,Audiosurf 2,14,45810,14
350080,Wolfenstein: The Old Blood,6,3545,7
362890,Black Mesa,19,26832,22
299360,Block N Load,24,126986,38
264380,Narcissu 1st & 2nd,14,2623,14
220200,Kerbal Space Program,117,1410337,118
242860,Verdun,84,164497,91
351290,Survival: Postapocalypse Now,6,7073,8
271590,Grand Theft Auto V,238,4058017,283
307780,Mortal Kombat X,15,78867,38
327890,I am Bread,16,5302,18
321360,Primal Carnage: Extinction,5,42834,7
359320,Elite Dangerous,23,202216,29
322920,theHunter: Primal,13,26376,15
291650,Pillars of Eternity,5,16448,6
306130,The Elder Scrolls® Online: Tamriel Unlimited™,22,315676,27
234630,Project CARS,7,39438,9
311560,Assassin’s Creed® Rogue,5,10460,5
255710,Cities: Skylines,62,473602,63
274170,Hotline Miami 2: Wrong Number,19,56609,20
261570,Ori and the Blind Forest,30,26465,30
326460,ShellShock Live,7,9354,8
307880,Savage Lands,6,4302,7
301640,Zombie Army Trilogy,10,13468,12
354140,Five Nights at Freddy's 3,26,9040,27
353360,how do you Do It?,11,3558,11
270450,Robot Roller-Derby Disco Dodgeball,7,6432,7
333950,Medieval Engineers,9,23070,13
329130,Reassembly,5,23062,5
298630,The Escapists,40,54989,42
325610,Total War: ATTILA,12,113170,13
273350,Evolve Stage 2,65,192416,83
285920,TerraTech,9,9400,9
282900,Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1,27,59744,27
319630,Life is Strange - Episode 1,149,194965,152
335240,Transformice,20,64325,23
346010,Besiege,61,114134,62
214420,Gear Up,14,10499,24
239140,Dying Light,69,329699,70
250420,8BitMMO,14,8009,18
316790,Grim Fandango Remastered,5,4104,5
301910,Saints Row: Gat out of Hell,8,28963,11
332500,GRAV,5,22311,6
314160,Microsoft Flight Simulator X: Steam Edition,10,63920,10
264710,Subnautica,72,99273,72
257510,The Talos Principle,12,23182,12
241560,The Crew™,11,46625,14
330840,Game of Thrones - A Telltale Games Series,26,29477,27
330830,Tales from the Borderlands,55,72562,56
282070,This War of Mine,51,61486,52
306020,Bloons TD 5,10,25356,10
331470,Everlasting Summer,16,11498,18
298160,Eldevin,5,3398,6
332800,Five Nights at Freddy's 2,50,21581,53
289650,Assassin's Creed® Unity,19,82945,34
294860,Valkyria Chronicles™,16,37323,17
204630,Retro City Rampage™ DX,6,2919,6
313690,LEGO® Batman™3: Beyond Gotham,6,20011,7
209650,Call of Duty®: Advanced Warfare - Gold Edition,38,39649,64
274940,Depth,37,76028,38
249050,Dungeon of the Endless™,13,12406,13
317360,Double Action: Boogaloo,45,9259,45
65980,Sid Meier's Civilization®: Beyond Earth™,17,152896,25
318430,Squishy the Suicidal Pig,17,10124,19
308420,Ziggurat,8,4885,8
250580,Paranautical Activity: Deluxe Atonement Edition,5,4822,6
248610,Door Kickers,9,11146,9
261640,Borderlands: The Pre-Sequel,59,352358,71
307690,Sleeping Dogs: Definitive Edition,6,7044,7
251170,Damned,7,4815,9
214490,Alien: Isolation,36,43706,37
292120,FINAL FANTASY® XIII,8,13416,10
302510,Ryse: Son of Rome,10,8285,11
282440,Quake Live™,29,27646,35
266430,Anarchy Arcade,12,6295,18
310080,Hatoful Boyfriend,11,4905,11
265550,Dead Rising 3 Apocalypse Edition,10,31480,16
257730,Infinity Wars: Animated Trading Card Game,6,10169,6
261180,Lethal League,19,14912,19
313340,Mountain,29,70702,32
319510,Five Nights at Freddy's,79,30108,90
45760,Ultra Street Fighter® IV,17,123311,18
268650,From the Depths,6,121146,6
295550,Royal Quest,6,14703,7
305260,Battle Islands,5,6663,5
296470,Mount Your Friends,21,5108,22
264140,Pixel Piracy,27,22460,30
274290,Gods Will Be Watching,6,3218,7
233980,UnEpic,6,12964,6
274900,Murder Miners,11,9252,14
280740,Aperture Tag: The Paint Gun Testing Initiative,7,2275,9
237310,Elsword,22,408408,24
268420,Aura Kingdom,18,94946,21
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,26,14821,27
250760,Shovel Knight: Treasure Trove,14,13184,14
255220,GRID Autosport,5,9866,5
238090,Sniper Elite 3,11,42421,14
263280,SPINTIRES™,32,136821,34
287450,Rise of Nations: Extended Edition,10,33363,10
302380,Floating Point,11,2471,12
303390,Dead Bits,12,2706,23
233290,Murdered: Soul Suspect,5,3134,6
253710,theHunter Classic,26,59898,53
224600,Defiance,32,111900,40
250620,Among the Sleep - Enhanced Edition,8,3468,8
95400,ibb & obb,6,2076,6
243470,Watch_Dogs™,31,112446,50
278360,A Story About My Uncle,11,3189,14
201810,Wolfenstein: The New Order,35,54930,40
237930,Transistor,37,26493,37
262410,World of Guns: Gun Disassembly,21,16833,26
263760,Turbo Dismount™,20,15057,20
274310,Always Sometimes Monsters,7,4351,7
282800,100% Orange Juice,12,8485,14
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,9,44656,12
270150,RUNNING WITH RIFLES,8,15014,9
242720,GunZ 2: The Second Duel,21,76901,29
242880,"Sir, You Are Being Hunted",16,8411,18
236430,DARK SOULS™ II,63,678075,68
207230,ArcheBlade™,23,51900,27
256290,Child of Light,8,10190,9
251060,Wargame: Red Dragon,15,229601,15
270550,Yet Another Zombie Defense,41,9355,45
265930,Goat Simulator,224,156599,247
209160,Call of Duty®: Ghosts,42,36345,78
245550,Free to Play,31,168371,31
263500,Dragons and Titans,5,3970,6
254700,resident evil 4 / biohazard 4,6,7701,7
239160,Thief,15,17423,22
266210,One Way Heroics,5,9124,5
264200,One Finger Death Punch,41,21741,42
213670,South Park™: The Stick of Truth™,77,104573,80
209060,Drunken Robot Pornography,5,4588,5
251870,Go! Go! Nippon! ~My First Trip to Japan~,10,5692,11
39210,FINAL FANTASY XIV Online,11,438314,13
267530,The LEGO® Movie - Videogame,5,2532,5
250260,Jazzpunk: Director's Cut,19,15952,21
208090,Loadout,227,363036,259
246700,Strike Vector,8,6681,10
232790,Broken Age,14,9888,17
237990,The Banner Saga,8,8652,9
228380,Next Car Game: Wreckfest,22,33259,25
235460,METAL GEAR RISING: REVENGEANCE,25,42255,26
246420,Kingdom Rush,15,24272,15
261030,The Walking Dead: Season 2,95,106507,99
250340,Blockland,11,119011,14
221100,DayZ,508,5961677,652
252530,OMSI 2: Steam Edition,5,224531,7
252490,Rust,611,10219263,700
248860,NEO Scavenger,9,17896,10
253030,Race The Sun,17,8203,17
39150,FINAL FANTASY VIII,10,48532,10
218130,Dungeonland,7,6080,7
242700,Injustice: Gods Among Us Ultimate Edition,10,6643,11
224260,No More Room in Hell,214,404894,230
247910,Sniper Elite: Nazi Zombie Army 2,8,4326,10
249130,LEGO® Marvel™ Super Heroes,35,101885,38
245280,ENSLAVED™: Odyssey to the West™ Premium Edition,6,3640,6
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,28,63627,28
209000,Batman™: Arkham Origins,60,183995,63
245470,Democracy 3,13,6273,15
233130,Shadow Warrior,33,29036,33
51100,Tactical Intervention,55,145249,76
247020,"Cook, Serve, Delicious!",11,8746,11
239200,Amnesia: A Machine for Pigs,6,2952,10
107410,Arma 3,218,6508353,239
238280,Legend of Dungeon,10,8212,10
222940,THE KING OF FIGHTERS XIII STEAM EDITION,7,19635,7
214950,Total War™: ROME II - Emperor Edition,60,1084424,79
232430,Gone Home,27,6143,34
225080,Brothers - A Tale of Two Sons,36,8127,36
65930,The Bureau: XCOM Declassified,7,6664,10
206420,Saints Row IV,142,414613,153
235600,Tom Clancy’s Splinter Cell Blacklist,19,76414,22
245170,Skullgirls,58,133793,60
239350,Spelunky,22,66391,23
239030,"Papers, Please",65,53610,67
214770,Guacamelee! Gold Edition,8,3496,9
236850,Europa Universalis IV,39,988308,43
239070,Hammerwatch,12,14091,13
218620,PAYDAY 2,775,12546425,982
234390,Teleglitch: Die More Edition,7,3537,7
213850,Magic 2014 — Duels of the Planeswalkers,7,10284,7
241600,Rogue Legacy,36,58058,36
236370,Interstellar Marines,23,15086,25
232910,TrackMania² Stadium,6,25115,8
222750,Wargame: Airland Battle,13,43771,14
215530,The Incredible Adventures of Van Helsing,6,5057,6
236090,Dust: An Elysian Tail,36,35741,36
204450,Call of Juarez® Gunslinger,33,17225,33
206190,Gunpoint,42,19560,43
44350,GRID 2,14,20564,17
238210,System Shock 2,6,3070,6
234190,Receiver,16,5144,18
224760,FEZ,29,11751,31
233270,Far Cry 3 - Blood Dragon,25,37679,27
113020,Monaco: What's Yours Is Mine,36,90388,37
223710,Cry of Fear,85,56690,93
104900,ORION: Prelude,93,68093,114
221380,Age of Empires II HD,81,498159,87
227180,Kingdom Wars,7,13762,9
230410,Warframe,474,12321959,497
8870,BioShock Infinite,219,293762,228
230050,DLC Quest,25,4177,25
217200,Worms Armageddon,6,29998,6
34870,Sniper: Ghost Warrior 2,7,7837,14
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,13,9619,14
212070,Star Conflict,29,45642,32
227100,Sniper Elite: Nazi Zombie Army,11,7543,14
203160,Tomb Raider,132,186306,134
224580,Arma II: DayZ Mod,20,12090,23
225260,Brutal Legend,17,17084,20
211500,RaceRoom Racing Experience,7,2220,11
212480,Sonic & All-Stars Racing Transformed,30,37257,30
219890,Antichamber,44,23370,46
227300,Euro Truck Simulator 2,96,619466,98
11610,Dragon Nest,18,308121,19
224540,Ace of Spades: Battle Builder,72,354139,113
222980,Dead Pixels,7,2208,8
220700,RPG Maker VX Ace,8,12938,8
220240,Far Cry 3,98,345972,109
221640,Super Hexagon,135,101401,139
221260,Little Inferno,29,18808,29
213610,Sonic Adventure 2,10,20244,10
218680,Scribblenauts Unlimited,28,32108,29
203140,Hitman: Absolution™,59,117246,63
218230,PlanetSide 2,253,2974662,274
208480,Assassin’s Creed® III,17,72770,21
220780,Thomas Was Alone,19,5381,19
206500,AirMech Strike,53,215196,55
4920,Natural Selection 2,44,309118,48
211400,Deadlight,11,3841,15
218640,Lucius,5,2612,7
213650,Dwarfs - F2P,14,4937,14
219640,Chivalry: Medieval Warfare,147,903972,170
214560,Mark of the Ninja,22,21670,23
200170,Worms Revolution,10,7947,10
220860,McPixel,12,2382,15
205100,Dishonored,102,252747,105
204360,Castle Crashers®,149,278676,153
200710,Torchlight II,63,137820,64
200510,XCOM: Enemy Unknown,87,468108,89
212680,FTL: Faster Than Light,130,394177,130
49520,Borderlands 2,461,4264497,469
211420,DARK SOULS™: Prepare To Die™ Edition,123,901137,137
211260,They Bleed Pixels,5,2083,5
212800,Super Crate Box,23,7302,24
206210,Gotham City Impostors Free to Play,48,66676,52
216150,MapleStory,25,436102,30
204300,Awesomenauts - the 2D moba,118,955970,126
201790,Orcs Must Die! 2,37,70041,37
209870,Blacklight: Retribution,74,725589,100
208140,Endless Space® - Collection,8,100164,8
50300,Spec Ops: The Line,66,39952,67
204880,Sins of a Solar Empire®: Rebellion,21,157988,21
208670,Blades of Time,5,4302,5
207610,The Walking Dead,123,197593,124
207170,Legend of Grimrock,5,3677,5
20920,The Witcher 2: Assassins of Kings Enhanced Edition,29,62989,32
104700,Super MNC,17,89684,22
63380,Sniper Elite V2,54,141791,57
113420,Fallen Earth Free2Play,11,30386,15
47410,Stronghold Kingdoms,9,226021,11
65300,Dustforce DX,5,2743,5
102500,Kingdoms of Amalur: Reckoning™,15,24479,15
67370,The Darkness II,20,11549,22
105450,Age of Empires® III: Complete Collection,26,86357,28
55230,Saints Row: The Third,135,510378,138
107800,Rochard,5,2384,5
32800,Lord of the Rings: War in the North,11,17619,13
65800,Dungeon Defenders,35,294477,35
24240,PAYDAY™ The Heist,122,297754,135
9200,RAGE,11,26074,12
102600,Orcs Must Die!,6,13569,6
107100,Bastion,67,53864,67
91700,E.Y.E: Divine Cybermancy,12,19271,14
48000,LIMBO,29,9820,29
98800,Dungeons of Dredmor,7,27185,7
72200,Universe Sandbox,8,608725,9
48720,Mount & Blade: With Fire & Sword,10,50551,11
105600,Terraria,634,10320781,648
22350,BRINK,5,8745,8
92800,SpaceChem,8,11579,10
48190,Assassin’s Creed® Brotherhood,7,12869,9
108800,Crysis 2 - Maximum Edition,13,13133,14
64000,Men of War: Assault Squad,9,44967,9
42910,Magicka,68,105315,70
47870,Need For Speed: Hot Pursuit,10,18400,14
8500,EVE Online,7,1117968,12
