app_name,item_id,playtime_forever,user_id,recommend,Sentiment_analysis
Dungeon of the Endless™,249050,526.0,asianturtlefrenzy,True,2.0
STARWHAL,263020,299.0,asianturtlefrenzy,True,0.0
Free to Play,245550,377.0,asianturtlefrenzy,True,2.0
Kingdom Rush,246420,532.0,asianturtlefrenzy,True,2.0
Race The Sun,253030,582.0,asianturtlefrenzy,True,2.0
Garry's Mod,4000,24299.0,Findoogle,True,1.0
The Elder Scrolls IV: Oblivion® Game of the Year Edition,22330,266.0,Findoogle,True,2.0
Bloody Trapland,257750,187.0,Findoogle,True,0.0
Five Nights at Freddy's,319510,890.0,Findoogle,True,1.0
Mount Your Friends,296470,349.0,Findoogle,True,1.0
Jazzpunk: Director's Cut,250260,610.0,Findoogle,True,1.0
Loadout,208090,58.0,Findoogle,True,0.0
Dead Rising® 2,45740,568.0,Findoogle,True,1.0
Left 4 Dead 2,550,592.0,Findoogle,True,2.0
Counter-Strike: Source,240,1096.0,Findoogle,True,2.0
Assassin’s Creed® IV Black Flag™,242050,1059.0,76561198129380421,True,2.0
Far Cry® 4,298110,3185.0,76561198129380421,True,2.0
Just Cause™ 3,225540,2246.0,76561198129380421,True,0.0
Planetbase,403190,3259.0,76561198129380421,True,2.0
Assassin’s Creed® Rogue,311560,2339.0,76561198129380421,True,2.0
Ryse: Son of Rome,302510,390.0,76561198129380421,True,0.0
Far Cry 3,220240,1221.0,76561198129380421,True,2.0
Assassin’s Creed® III,208480,3210.0,76561198129380421,True,2.0
Assassin’s Creed® Brotherhood,48190,1464.0,76561198129380421,True,2.0
Assassin's Creed 2 Deluxe Edition,33230,681.0,76561198129380421,True,2.0
"Star Wars: Battlefront 2 (Classic, 2005)",6060,2919.0,Lickidactyl,True,2.0
Sonic Generations Collection,71340,5737.0,Lickidactyl,True,2.0
War for the Overworld,230190,1923.0,Lickidactyl,True,2.0
RWBY: Grimm Eclipse,418340,1154.0,Lickidactyl,True,2.0
Sniper Elite 3,238090,505.0,Lickidactyl,True,2.0
Sonic & All-Stars Racing Transformed,212480,2476.0,Lickidactyl,True,2.0
Thief™ Gold,211600,4965.0,Lickidactyl,True,2.0
Sonic the Hedgehog 4 - Episode II,203650,669.0,Lickidactyl,True,2.0
PAYDAY™ The Heist,24240,1528.0,Lickidactyl,True,2.0
Deus Ex: Game of the Year Edition,6910,3634.0,Lickidactyl,True,0.0
Primal Carnage,215470,141.0,piedude,True,2.0
Banished,242920,5406.0,piedude,True,2.0
FarSky,286340,720.0,piedude,True,1.0
Industry Giant 2,271360,55.0,piedude,True,2.0
Starbound,211820,85.0,piedude,True,2.0
American Truck Simulator,270880,847.0,piedude,True,2.0
Cities: Skylines,255710,1487.0,piedude,True,2.0
SPINTIRES™,263280,2506.0,piedude,True,2.0
DayZ,221100,512.0,piedude,True,2.0
Rust,252490,910.0,piedude,True,2.0
"Star Wars: Battlefront 2 (Classic, 2005)",6060,7426.0,76561198080345478,True,2.0
Fallout: New Vegas,22380,1700.0,76561198080345478,True,1.0
Guns of Icarus Online,209080,7527.0,76561198080345478,True,0.0
Five Nights at Freddy's 2,332800,35.0,76561198080345478,True,1.0
ArcheBlade™,207230,10980.0,76561198080345478,True,0.0
Dragons and Titans,263500,1438.0,76561198080345478,True,0.0
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,234670,9587.0,76561198080345478,True,2.0
ORION: Prelude,104900,352.0,76561198080345478,True,0.0
Natural Selection 2,4920,1415.0,76561198080345478,True,0.0
STAR WARS™ Republic Commando™,6000,1711.0,76561198080345478,True,2.0
Garry's Mod,4000,5811.0,SpiritOfDeath2,True,2.0
Beat Hazard,49600,321.0,SpiritOfDeath2,True,0.0
X3: Albion Prelude,201310,16330.0,SpiritOfDeath2,True,0.0
Cortex Command,209670,514.0,SpiritOfDeath2,True,0.0
The Beginner's Guide,303210,94.0,SpiritOfDeath2,True,2.0
Anarchy Arcade,266430,3033.0,SpiritOfDeath2,True,2.0
X Rebirth,2870,683.0,SpiritOfDeath2,True,2.0
The Inner World,251430,370.0,SpiritOfDeath2,True,2.0
Thomas Was Alone,220780,342.0,SpiritOfDeath2,True,1.0
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,214830,511.0,SpiritOfDeath2,True,2.0
Counter-Strike: Global Offensive,730,40583.0,teachmehowtosoli,True,1.0
Town of Salem,334230,3019.0,teachmehowtosoli,True,0.0
Undertale,391540,2080.0,teachmehowtosoli,True,2.0
Ratz Instagib,338170,403.0,teachmehowtosoli,True,2.0
Highschool Romance,398100,469.0,teachmehowtosoli,True,2.0
Transistor,237930,1280.0,teachmehowtosoli,True,2.0
Skullgirls,245170,424.0,teachmehowtosoli,True,2.0
Borderlands 2,49520,4218.0,teachmehowtosoli,True,0.0
Bastion,107100,153.0,teachmehowtosoli,True,2.0
Poker Night at the Inventory,31280,187.0,teachmehowtosoli,True,1.0
Recettear: An Item Shop's Tale,70400,1581.0,76561198091682568,True,2.0
The Stanley Parable,221910,290.0,76561198091682568,True,2.0
Kung Fury: Street Rage,373180,161.0,76561198091682568,True,2.0
Reigns,474750,269.0,76561198091682568,True,2.0
Titan Souls,297130,236.0,76561198091682568,True,0.0
Gunman Clive,262550,211.0,76561198091682568,True,2.0
Velocity®Ultra,244890,286.0,76561198091682568,True,2.0
SteamWorld Dig,252410,718.0,76561198091682568,True,2.0
Awesomenauts - the 2D moba,204300,1331.0,76561198091682568,True,2.0
PAYDAY™ The Heist,24240,2924.0,76561198091682568,True,2.0
Half-Life,70,335.0,dragonlore23,True,2.0
Fallout 2: A Post Nuclear Role Playing Game,38410,1750.0,dragonlore23,True,2.0
Portal 2,620,2160.0,dragonlore23,True,2.0
Sanctum,91600,441.0,dragonlore23,True,2.0
Goat Simulator,265930,745.0,dragonlore23,True,1.0
Magic 2014 — Duels of the Planeswalkers,213850,1524.0,dragonlore23,True,2.0
Terraria,105600,3745.0,dragonlore23,True,2.0
Portal,400,188.0,dragonlore23,True,2.0
Half-Life 2,220,594.0,dragonlore23,True,2.0
Half-Life 2: Episode One,380,166.0,dragonlore23,True,1.0
Garry's Mod,4000,57905.0,76561198060201321,True,2.0
Counter-Strike: Global Offensive,730,26493.0,76561198060201321,True,2.0
Toribash,248570,601.0,76561198060201321,True,2.0
SpeedRunners,207140,3252.0,76561198060201321,True,2.0
Trove,304050,780.0,76561198060201321,True,2.0
Verdun,242860,346.0,76561198060201321,True,2.0
Yet Another Zombie Defense,270550,499.0,76561198060201321,True,2.0
Rust,252490,12444.0,76561198060201321,True,2.0
Chivalry: Medieval Warfare,219640,3310.0,76561198060201321,True,2.0
Call of Duty: World at War,10090,5812.0,76561198060201321,True,2.0
Assassin’s Creed® Liberation HD,260210,1246.0,ManiFoldKinesis,True,1.0
Undertale,391540,1885.0,ManiFoldKinesis,True,2.0
ARK: Survival Evolved,346110,836.0,ManiFoldKinesis,True,1.0
Rise of the Tomb Raider™,391220,3636.0,ManiFoldKinesis,True,2.0
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,349040,369.0,ManiFoldKinesis,True,1.0
Life is Strange - Episode 1,319630,1079.0,ManiFoldKinesis,True,2.0
FINAL FANTASY® XIII,292120,458.0,ManiFoldKinesis,True,1.0
resident evil 4 / biohazard 4,254700,2278.0,ManiFoldKinesis,True,1.0
BioShock Infinite,8870,1438.0,ManiFoldKinesis,True,1.0
The Walking Dead,207610,689.0,ManiFoldKinesis,True,2.0
Garry's Mod,4000,52480.0,76561198073958869,True,2.0
BioShock™,7670,968.0,76561198073958869,True,2.0
Amnesia: The Dark Descent,57300,32.0,76561198073958869,True,1.0
Sid Meier's Civilization® V,8930,4882.0,76561198073958869,True,2.0
Assassin’s Creed® IV Black Flag™,242050,5606.0,76561198073958869,True,2.0
This War of Mine,282070,675.0,76561198073958869,True,0.0
PAYDAY 2,218620,5135.0,76561198073958869,True,2.0
BioShock Infinite,8870,1264.0,76561198073958869,True,2.0
The Walking Dead,207610,949.0,76561198073958869,True,1.0
Left 4 Dead 2,550,2825.0,76561198073958869,True,2.0
Beat Hazard,49600,99.0,emorisu,True,2.0
BIT.TRIP RUNNER,63710,30.0,emorisu,True,2.0
The Binding of Isaac,113200,1747.0,emorisu,True,2.0
Bloody Trapland,257750,308.0,emorisu,True,2.0
BattleBlock Theater®,238460,2292.0,emorisu,True,2.0
The Binding of Isaac: Rebirth,250900,3893.0,emorisu,True,2.0
100% Orange Juice,282800,1276.0,emorisu,True,2.0
Ace of Spades: Battle Builder,224540,173.0,emorisu,True,1.0
Awesomenauts - the 2D moba,204300,879.0,emorisu,True,2.0
AudioSurf,12900,216.0,emorisu,True,2.0
Counter-Strike: Global Offensive,730,88824.0,reallifecheater,True,1.0
Hotline Miami,219150,95.0,reallifecheater,True,1.0
Call of Duty®: Black Ops II,202970,24.0,reallifecheater,True,2.0
Watch_Dogs™,243470,359.0,reallifecheater,True,1.0
Goat Simulator,265930,502.0,reallifecheater,True,0.0
PAYDAY 2,218620,7001.0,reallifecheater,True,1.0
Chivalry: Medieval Warfare,219640,528.0,reallifecheater,True,1.0
Borderlands 2,49520,224.0,reallifecheater,True,1.0
Left 4 Dead 2,550,1213.0,reallifecheater,True,1.0
Alan Wake,108710,248.0,commandochou,True,0.0
Deus Ex: Mankind Divided,337000,2099.0,commandochou,True,2.0
BioShock™ Remastered,409710,173.0,commandochou,True,2.0
XCOM® 2,268500,5671.0,commandochou,True,2.0
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",409160,18.0,commandochou,True,2.0
Alien: Isolation,214490,2272.0,commandochou,True,0.0
"Papers, Please",239030,813.0,commandochou,True,1.0
Tomb Raider,203160,1291.0,commandochou,True,2.0
Deadlight,211400,63.0,commandochou,False,0.0
Age of Empires® III: Complete Collection,105450,1769.0,commandochou,True,2.0
Garry's Mod,4000,4100.0,76561198048348337,False,0.0
Mortal Kombat Komplete Edition,237110,406.0,76561198048348337,True,2.0
The Forest,242760,1159.0,76561198048348337,True,2.0
Without Within,345650,50.0,76561198048348337,True,2.0
Starbound,211820,2654.0,76561198048348337,True,2.0
theHunter Classic,253710,53.0,76561198048348337,True,2.0
PAYDAY 2,218620,8045.0,76561198048348337,True,1.0
Aliens vs. Predator™,10680,2280.0,76561198048348337,True,1.0
Half-Life 2: Episode Two,420,752.0,76561198048348337,True,2.0
Half-Life 2,220,4675.0,76561198048348337,True,2.0
Garry's Mod,4000,80364.0,tarjla,True,2.0
Counter-Strike: Global Offensive,730,23614.0,tarjla,True,2.0
The Forest,242760,6368.0,tarjla,True,2.0
Starbound,211820,4639.0,tarjla,True,2.0
Fragmented,441790,105.0,tarjla,True,2.0
Unturned,304930,11492.0,tarjla,True,2.0
Secret Ponchos,265750,110.0,tarjla,True,2.0
Rust,252490,76144.0,tarjla,True,2.0
Terraria,105600,15281.0,tarjla,True,2.0
FINAL FANTASY VII,39140,488.0,dukewikoli,True,2.0
The Stanley Parable,221910,143.0,dukewikoli,True,2.0
Undertale,391540,1083.0,dukewikoli,True,0.0
Starbound,211820,6858.0,dukewikoli,True,2.0
Loadout,208090,603.0,dukewikoli,True,2.0
"Cook, Serve, Delicious!",247020,136.0,dukewikoli,True,1.0
Far Cry 3,220240,11494.0,dukewikoli,True,2.0
PlanetSide 2,218230,36876.0,dukewikoli,True,2.0
Dishonored,205100,839.0,dukewikoli,True,0.0
Garry's Mod,4000,2785.0,76561198063274178,True,1.0
Realm of the Mad God,200210,4537.0,76561198063274178,True,2.0
Super Amazing Wagon Adventure,250500,172.0,76561198063274178,True,1.0
Hook,367580,98.0,76561198063274178,True,0.0
Boid,314010,301.0,76561198063274178,True,2.0
Don't Starve Together,322330,1641.0,76561198063274178,True,2.0
Air Brawl,375600,1812.0,76561198063274178,True,2.0
Damned,251170,335.0,76561198063274178,True,1.0
Super Hexagon,221640,873.0,76561198063274178,True,0.0
Garry's Mod,4000,14098.0,Slavishbear,True,1.0
Sid Meier's Civilization® V,8930,5560.0,Slavishbear,True,2.0
Counter-Strike: Global Offensive,730,61247.0,Slavishbear,True,0.0
Rocket League®,252950,3619.0,Slavishbear,True,2.0
Reign Of Kings,344760,11331.0,Slavishbear,True,2.0
Rust,252490,33600.0,Slavishbear,True,0.0
Arma 3,107410,3065.0,Slavishbear,True,1.0
XCOM: Enemy Unknown,200510,3255.0,Slavishbear,True,0.0
Spec Ops: The Line,50300,320.0,Slavishbear,True,1.0
Broforce,274190,4447.0,Hollowfun,True,0.0
Starbound,211820,7483.0,Hollowfun,True,1.0
Unturned,304930,1406.0,Hollowfun,True,1.0
Block N Load,299360,333.0,Hollowfun,True,1.0
Goat Simulator,265930,1622.0,Hollowfun,True,1.0
Gunpoint,206190,280.0,Hollowfun,True,0.0
XCOM: Enemy Unknown,200510,1602.0,Hollowfun,True,2.0
Borderlands 2,49520,13670.0,Hollowfun,True,0.0
Terraria,105600,5809.0,Hollowfun,True,2.0
Realm of the Mad God,200210,1263.0,76561198052479552,True,1.0
Counter-Strike: Global Offensive,730,34742.0,76561198052479552,True,2.0
The Forest,242760,4882.0,76561198052479552,True,1.0
ARK: Survival Evolved,346110,44390.0,76561198052479552,True,1.0
ARK: Survival Of The Fittest,407530,729.0,76561198052479552,True,0.0
Grand Theft Auto V,271590,40171.0,76561198052479552,True,1.0
Rust,252490,46643.0,76561198052479552,True,0.0
Castle Crashers®,204360,7532.0,76561198052479552,True,0.0
Dungeon Defenders,65800,28193.0,76561198052479552,True,2.0
Garry's Mod,4000,11097.0,76561198079298522,True,0.0
Guns of Icarus Online,209080,488.0,76561198079298522,True,2.0
The Stanley Parable,221910,379.0,76561198079298522,True,2.0
Fork Parker's Holiday Profit Hike,339120,16.0,76561198079298522,True,2.0
Rocket League®,252950,5001.0,76561198079298522,True,2.0
Robocraft,301520,2046.0,76561198079298522,True,1.0
Mountain,313340,575.0,76561198079298522,True,2.0
Rust,252490,3990.0,76561198079298522,True,1.0
Magicka,42910,775.0,76561198079298522,True,2.0
Fallout: New Vegas,22380,606.0,76561198097591088,True,2.0
Fistful of Frags,265630,404.0,76561198097591088,True,1.0
Undertale,391540,2096.0,76561198097591088,True,1.0
Unturned,304930,2467.0,76561198097591088,True,1.0
Trove,304050,2637.0,76561198097591088,True,0.0
Dirty Bomb®,333930,859.0,76561198097591088,True,1.0
World of Guns: Gun Disassembly,262410,134.0,76561198097591088,True,1.0
Thinking with Time Machine,286080,31.0,76561198097591088,True,1.0
AirMech Strike,206500,317.0,76561198097591088,True,1.0
Mount & Blade: Warband,48700,6484.0,yotuic,True,2.0
Two Worlds II HD,7520,2090.0,yotuic,True,2.0
Counter-Strike: Global Offensive,730,134064.0,yotuic,True,2.0
AdVenture Capitalist,346900,1518.0,yotuic,True,2.0
Prison Architect,233450,963.0,yotuic,True,2.0
Unturned,304930,1558.0,yotuic,True,0.0
PAYDAY 2,218620,2650.0,yotuic,True,2.0
FTL: Faster Than Light,212680,997.0,yotuic,True,2.0
Borderlands 2,49520,4356.0,yotuic,True,2.0
Toribash,248570,628.0,Hobgoblin101,True,2.0
Starbound,211820,2326.0,Hobgoblin101,True,0.0
Robocraft,301520,6363.0,Hobgoblin101,True,2.0
Unturned,304930,2723.0,Hobgoblin101,True,2.0
Strike Suit Zero: Director's Cut,288370,147.0,Hobgoblin101,True,2.0
Legend of Dungeon,238280,220.0,Hobgoblin101,True,2.0
Gunpoint,206190,231.0,Hobgoblin101,True,2.0
FEZ,224760,14.0,Hobgoblin101,True,2.0
Saints Row: The Third,55230,168.0,Hobgoblin101,True,2.0
Lucid,61100,564.0,Hw__aN,True,0.0
iBomber Defense Pacific,206690,1227.0,Hw__aN,True,2.0
Poker Night 2,234710,646.0,Hw__aN,True,2.0
Blades of Time,208670,1536.0,Hw__aN,True,2.0
Bastion,107100,1620.0,Hw__aN,True,2.0
iBomber Defense,104000,2098.0,Hw__aN,True,2.0
SpaceChem,92800,988.0,Hw__aN,True,1.0
Magicka,42910,1660.0,Hw__aN,True,0.0
Poker Night at the Inventory,31280,525.0,Hw__aN,True,2.0
Project Zomboid,108600,607.0,hemcom,True,1.0
ZOMBI,339230,469.0,hemcom,True,1.0
Starbound,211820,10678.0,hemcom,True,1.0
Killing Floor 2,232090,30585.0,hemcom,True,1.0
Overgrowth,25000,421.0,hemcom,True,1.0
Umbrella Corps™/Biohazard Umbrella Corps™,390340,709.0,hemcom,True,1.0
Tom Clancy's Rainbow Six® Siege,359550,3175.0,hemcom,True,1.0
Evolve Stage 2,273350,2594.0,hemcom,True,1.0
Besiege,346010,1591.0,hemcom,True,1.0
Amnesia: A Machine for Pigs,239200,261.0,hemcom,False,1.0
Osmos,29180,220.0,NanoPi,True,1.0
Magicite,268750,241.0,NanoPi,True,2.0
Freedom Planet,248310,160.0,NanoPi,True,2.0
Ori and the Blind Forest,261570,1801.0,NanoPi,True,1.0
Transistor,237930,1128.0,NanoPi,True,0.0
Dust: An Elysian Tail,236090,1671.0,NanoPi,True,2.0
Brutal Legend,225260,2490.0,NanoPi,True,2.0
Left 4 Dead 2,550,614.0,NanoPi,True,1.0
Half-Life: Source,280,2476.0,NanoPi,True,2.0
The Sims™ 3,47890,1487.0,neochuah94,True,2.0
The Room,288160,331.0,neochuah94,True,2.0
The Silent Age,352520,570.0,neochuah94,True,2.0
Aviary Attorney,384630,292.0,neochuah94,True,2.0
Missing Translation,395520,327.0,neochuah94,True,2.0
The Old Tree,346250,18.0,neochuah94,True,2.0
Detective Grimoire,272600,1218.0,neochuah94,True,2.0
Broken Age,232790,629.0,neochuah94,True,2.0
DARK SOULS™: Prepare To Die™ Edition,211420,4467.0,neochuah94,True,0.0
Garry's Mod,4000,11620.0,Astrelt,True,2.0
Mabinogi,212200,37569.0,Astrelt,True,2.0
AdVenture Capitalist,346900,604.0,Astrelt,True,2.0
the static speaks my name,387860,18.0,Astrelt,True,2.0
Time Clickers,385770,1323.0,Astrelt,True,2.0
Eldritch,252630,961.0,Astrelt,True,2.0
Warframe,230410,14334.0,Astrelt,True,2.0
Super Hexagon,221640,85.0,Astrelt,True,0.0
Scribblenauts Unlimited,218680,2453.0,Astrelt,True,2.0
Machinarium,40700,390.0,meltingman234,True,2.0
Castle of Illusion,227600,221.0,meltingman234,True,2.0
PAC-MAN™ Championship Edition DX+,236450,288.0,meltingman234,True,2.0
You Have to Win the Game,286100,56.0,meltingman234,True,2.0
Undertale,391540,472.0,meltingman234,True,2.0
Gon' E-Choo!,384990,85.0,meltingman234,True,2.0
The Impossible Game,251630,194.0,meltingman234,True,2.0
Grimm,252150,3695.0,meltingman234,True,2.0
They Bleed Pixels,211260,484.0,meltingman234,True,0.0
Company of Heroes 2,231430,473.0,LiberationestZ,True,2.0
Tropico 5,245620,4493.0,LiberationestZ,True,2.0
Hearts of Iron IV,394360,16949.0,LiberationestZ,True,2.0
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,359050,74.0,LiberationestZ,True,2.0
Day of Defeat: Source,300,98.0,LiberationestZ,True,2.0
Hearts of Iron III,25890,13772.0,LiberationestZ,True,2.0
Bad Rats: the Rats' Revenge,34900,10.0,LiberationestZ,True,2.0
Counter-Strike,10,15479.0,LiberationestZ,True,2.0
Day of Defeat,30,2110.0,LiberationestZ,True,2.0
EDGE,38740,123.0,mrhuffenpuff,True,2.0
Counter-Strike: Global Offensive,730,200880.0,mrhuffenpuff,True,2.0
Insurgency,222880,3082.0,mrhuffenpuff,True,2.0
BattleBlock Theater®,238460,2040.0,mrhuffenpuff,True,2.0
Call of Duty®: Black Ops III,311210,1163.0,mrhuffenpuff,False,0.0
Brawlhalla,291550,338.0,mrhuffenpuff,True,2.0
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,234670,462.0,mrhuffenpuff,True,0.0
PAYDAY 2,218620,17569.0,mrhuffenpuff,True,2.0
Hitman: Absolution™,203140,773.0,mrhuffenpuff,True,2.0
Torchlight II,200710,151.0,mrhuffenpuff,True,2.0
Hard Reset Extended Edition,98400,305.0,prohan,True,2.0
Alan Wake,108710,694.0,prohan,True,2.0
Marlow Briggs and the Mask of Death,249680,395.0,prohan,True,2.0
The Walking Dead: Season 2,261030,510.0,prohan,True,2.0
Thomas Was Alone,220780,323.0,prohan,True,0.0
Spec Ops: The Line,50300,413.0,prohan,True,2.0
Blades of Time,208670,608.0,prohan,True,2.0
The Walking Dead,207610,723.0,prohan,True,2.0
RUSH,38720,248.0,prohan,True,2.0
Nether: Resurrected,247730,716.0,sogogamer,True,2.0
PULSAR: Lost Colony,252870,408.0,sogogamer,True,0.0
Mitos.is: The Game,389570,156.0,sogogamer,True,2.0
Verdun,242860,2736.0,sogogamer,True,2.0
Grand Theft Auto V,271590,6981.0,sogogamer,True,2.0
Rust,252490,9476.0,sogogamer,True,2.0
Arma 3,107410,2310.0,sogogamer,True,2.0
PAYDAY 2,218620,1528.0,sogogamer,True,0.0
Terraria,105600,1266.0,sogogamer,True,2.0
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450,1158.0,king_perish,True,2.0
The Binding of Isaac,113200,229.0,king_perish,True,0.0
Counter-Strike: Global Offensive,730,15754.0,king_perish,True,2.0
War Thunder,236390,188.0,king_perish,True,2.0
GoD Factory: Wingmen,262750,381.0,king_perish,True,2.0
Zombie Driver HD,220820,847.0,king_perish,True,1.0
Chivalry: Medieval Warfare,219640,1396.0,king_perish,True,0.0
Worms,70640,30.0,king_perish,True,0.0
Counter-Strike: Source,240,8084.0,king_perish,True,2.0
Saints Row 2,9480,3045.0,spicydoggomemes,True,2.0
Grand Theft Auto: Episodes from Liberty City,12220,12921.0,spicydoggomemes,True,2.0
Grand Theft Auto: San Andreas,12120,5940.0,spicydoggomemes,True,2.0
Portal 2,620,892.0,spicydoggomemes,True,2.0
Hotline Miami,219150,333.0,spicydoggomemes,True,2.0
Saints Row IV,206420,455.0,spicydoggomemes,True,2.0
Saints Row: The Third,55230,840.0,spicydoggomemes,True,0.0
Battlefield: Bad Company™ 2,24960,4502.0,spicydoggomemes,True,2.0
Assassin's Creed 2 Deluxe Edition,33230,5582.0,spicydoggomemes,True,2.0
Eador. Masters of the Broken World,232050,6161.0,stverbal,True,2.0
Galactic Civilizations III,226860,1231.0,stverbal,True,2.0
Planet of the Eyes,350970,73.0,stverbal,False,0.0
Zoombinis,397430,736.0,stverbal,True,2.0
Stellaris,281990,2791.0,stverbal,True,2.0
Warhammer: End Times - Vermintide,235540,1871.0,stverbal,True,2.0
NOT A HERO,274270,413.0,stverbal,True,2.0
Verdun,242860,3003.0,stverbal,True,2.0
King's Bounty: Warriors of the North,203350,2200.0,stverbal,True,2.0
DARK SOULS™: Prepare To Die™ Edition,211420,3605.0,stverbal,True,2.0
Counter-Strike: Global Offensive,730,41943.0,jumpoffroof,True,1.0
Surgeon Simulator,233720,437.0,jumpoffroof,True,2.0
Bridge Constructor,250460,1089.0,jumpoffroof,True,1.0
Kerbal Space Program,220200,15055.0,jumpoffroof,True,1.0
Game of Thrones - A Telltale Games Series,330840,853.0,jumpoffroof,True,2.0
Depression Quest,270170,26.0,jumpoffroof,True,0.0
Rust,252490,20474.0,jumpoffroof,True,2.0
Antichamber,219890,453.0,jumpoffroof,True,2.0
Spec Ops: The Line,50300,405.0,jumpoffroof,True,2.0
Manhunt,12130,418.0,candel,True,0.0
The Binding of Isaac,113200,834.0,candel,True,2.0
Evoland,233470,270.0,candel,True,1.0
Spooky's Jump Scare Mansion,356670,506.0,candel,True,0.0
Gorky 17,253920,59.0,candel,True,0.0
Guncraft,241720,542.0,candel,True,2.0
BioShock Infinite,8870,1311.0,candel,True,0.0
LIMBO,48000,258.0,candel,True,1.0
eversion,33680,229.0,candel,True,2.0
Portal 2,620,2098.0,BlazingTheAmazing,True,2.0
Counter-Strike: Global Offensive,730,18398.0,BlazingTheAmazing,True,2.0
War Thunder,236390,962.0,BlazingTheAmazing,True,2.0
AdVenture Capitalist,346900,482.0,BlazingTheAmazing,True,2.0
Undertale,391540,2059.0,BlazingTheAmazing,True,2.0
Robocraft,301520,1029.0,BlazingTheAmazing,True,2.0
Quintet,340350,185.0,BlazingTheAmazing,True,2.0
Transformice,335240,73.0,BlazingTheAmazing,True,2.0
Left 4 Dead 2,550,4745.0,BlazingTheAmazing,True,2.0
Mirror's Edge™,17410,77.0,TheWatchdogEM,True,1.0
War Thunder,236390,37.0,TheWatchdogEM,False,0.0
Double Action: Boogaloo,317360,19.0,TheWatchdogEM,True,1.0
Damned,251170,44.0,TheWatchdogEM,True,2.0
theHunter Classic,253710,9.0,TheWatchdogEM,True,2.0
DayZ,221100,3562.0,TheWatchdogEM,True,2.0
Arma 3,107410,28535.0,TheWatchdogEM,True,0.0
Tom Clancy’s Splinter Cell Blacklist,235600,341.0,TheWatchdogEM,True,0.0
PlanetSide 2,218230,800.0,TheWatchdogEM,True,0.0
Red Faction Guerrilla Steam Edition,20500,319.0,TheWatchdogEM,True,2.0
Portal 2,620,564.0,Wallfinstein,True,2.0
Hotline Miami,219150,189.0,Wallfinstein,True,2.0
Call of Duty®: Black Ops II,202970,166.0,Wallfinstein,True,2.0
AdVenture Capitalist,346900,5527.0,Wallfinstein,True,2.0
INK,385710,58.0,Wallfinstein,True,2.0
Mortal Online,287920,1205.0,Wallfinstein,True,2.0
Emily Wants To Play,416590,15.0,Wallfinstein,True,2.0
Keep Talking and Nobody Explodes,341800,165.0,Wallfinstein,True,2.0
Warframe,230410,5114.0,Wallfinstein,True,2.0
